CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
29443,Read from pointer after free,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/lib/readutmp.c,read_utmp
29442,Use after free,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/src/pr.c,store_columns
29440,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/lib/parse-datetime.y,parse_datetime
29439,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/lib/posixtm.c,posixtime
29438,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/src/chmod.c,process_file
29437,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/src/chmod.c,process_file
29436,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/src/od.c,main
29435,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/lib/gl_anylinked_list2.h,gl_linked_iterator_from_to
29434,Uninitialized scalar variable,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/lib/gl_anylinked_list2.h,gl_linked_iterator
29409,String not null terminated,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/src/wc.c,wc
29401,Resource leak,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/lib/freopen-safer.c,protect_fd
29400,Resource leak,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/libstdbuf.c,apply_mode
29399,Resource leak,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/sync.c,sync_arg
29398,Resource leak,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/tsort.c,tsort
29397,Resource leak,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/split.c,lines_rr
29395,Out-of-bounds access,High,New,11/03/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/lib/getcwd.c,rpl_getcwd
